judge,prompt_id,author,current_source_path,current_paraphraser,sheet_sha256,current_sha256,sheet_word_count,current_word_count,match_status
claude-opus-4.7,repl-code-001,gemini-3.1-pro,paraphrased_responses/gpt-5.5/gemini-3.1-pro__prompt-repl-code-001.json,gpt-5.5,720e1e233f345851d66dc6fe8a2a231cd55b63412bfac7289ceb25a968c596e7,720e1e233f345851d66dc6fe8a2a231cd55b63412bfac7289ceb25a968c596e7,230,230,exact
claude-opus-4.7,repl-code-001,claude-opus-4.7,paraphrased_responses/gemini-3.1-pro/claude-opus-4.7__prompt-repl-code-001.json,gemini-3.1-pro,ea5487d86c669c3805d4d03280e130c7bcc9af9486125611173a3b85572c2c4a,ea5487d86c669c3805d4d03280e130c7bcc9af9486125611173a3b85572c2c4a,652,652,exact
claude-opus-4.7,repl-code-001,kimi-k2.6,paraphrased_responses/claude-opus-4.7/kimi-k2.6__prompt-repl-code-001.json,claude-opus-4.7,c59190534c060db02c32e519a86852f0aca31fed613a9940ba52e10369ea532c,c59190534c060db02c32e519a86852f0aca31fed613a9940ba52e10369ea532c,235,235,exact
claude-opus-4.7,repl-code-001,gpt-5.5,paraphrased_responses/kimi-k2.6/gpt-5.5__prompt-repl-code-001.json,kimi-k2.6,845cee8b1dce158d723ec0becff7bd86af0ed600be99112cc0aa7ba0e70fd46b,dda3ac3cb0047922041dd38076ab9efe9c73ccc63091bf16f9cac5fdc48183b4,321,304,mismatch
claude-opus-4.7,repl-logic-001,gemini-3.1-pro,paraphrased_responses/gpt-5.5/gemini-3.1-pro__prompt-repl-logic-001.json,gpt-5.5,8f2a2b8fd377e8a22cfcd88aef1157f3ae0a22b6ecc2c69777865f02b7163358,8f2a2b8fd377e8a22cfcd88aef1157f3ae0a22b6ecc2c69777865f02b7163358,238,238,exact
claude-opus-4.7,repl-logic-001,claude-opus-4.7,paraphrased_responses/gemini-3.1-pro/claude-opus-4.7__prompt-repl-logic-001.json,gemini-3.1-pro,9d996caa806fb1cfc3fca31c8d10717ce11e8e320b3b508e8143cb66cffdd0cf,9d996caa806fb1cfc3fca31c8d10717ce11e8e320b3b508e8143cb66cffdd0cf,262,262,exact
claude-opus-4.7,repl-logic-001,gpt-5.5,paraphrased_responses/kimi-k2.6/gpt-5.5__prompt-repl-logic-001.json,kimi-k2.6,8be10a4ddb4b95183814b9dc99b68bd55fe0e721e414e12af520a0a5cbb9c8a2,3f4b52ddf49c8519ceb1a2c58fc0c3e69806e9072d1cb9b63a389cf9fb7cb096,206,231,mismatch
claude-opus-4.7,repl-logic-001,kimi-k2.6,paraphrased_responses/claude-opus-4.7/kimi-k2.6__prompt-repl-logic-001.json,claude-opus-4.7,7dd73ca98b4378cc94d9d16a1bf847104a31170049dade3ff2708b78bdeacb32,7dd73ca98b4378cc94d9d16a1bf847104a31170049dade3ff2708b78bdeacb32,165,165,exact
claude-opus-4.7,repl-creative-001,kimi-k2.6,paraphrased_responses/claude-opus-4.7/kimi-k2.6__prompt-repl-creative-001.json,claude-opus-4.7,0f12e25d4788c4722508a0b3350ddc7dc0ef9c369a969cf46af62b0f7e434fff,0f12e25d4788c4722508a0b3350ddc7dc0ef9c369a969cf46af62b0f7e434fff,199,199,exact
claude-opus-4.7,repl-creative-001,gemini-3.1-pro,paraphrased_responses/gpt-5.5/gemini-3.1-pro__prompt-repl-creative-001.json,gpt-5.5,993fef60d96af2df1869fb2f1e4726b98f4019783f9b183b4e58941aec23039a,993fef60d96af2df1869fb2f1e4726b98f4019783f9b183b4e58941aec23039a,237,237,exact
claude-opus-4.7,repl-creative-001,gpt-5.5,paraphrased_responses/kimi-k2.6/gpt-5.5__prompt-repl-creative-001.json,kimi-k2.6,6e9c9de91405501eb0b89fa19898d6f60a8dc5f95ea9713bd5500641cb02b601,e43e25e63520695bb9c954f69b15ca2d9556b03054815c4694a94c42aabfcc5f,223,223,mismatch
claude-opus-4.7,repl-creative-001,claude-opus-4.7,paraphrased_responses/gemini-3.1-pro/claude-opus-4.7__prompt-repl-creative-001.json,gemini-3.1-pro,e0102f325ebbe11a8c337815483c57c10ab25a0f385747665129033aaafeb521,e0102f325ebbe11a8c337815483c57c10ab25a0f385747665129033aaafeb521,382,382,exact
claude-opus-4.7,repl-ethics-001,claude-opus-4.7,paraphrased_responses/gemini-3.1-pro/claude-opus-4.7__prompt-repl-ethics-001.json,gemini-3.1-pro,811bc5cda9a1cc0d63aad750a60883bbb00bfb5f856188f1814dee343f1bdd96,811bc5cda9a1cc0d63aad750a60883bbb00bfb5f856188f1814dee343f1bdd96,689,689,exact
claude-opus-4.7,repl-ethics-001,kimi-k2.6,paraphrased_responses/claude-opus-4.7/kimi-k2.6__prompt-repl-ethics-001.json,claude-opus-4.7,d208714749e2d8ddb7cc3f2657d2cba872beaaa9f1b99e6d2b92bb1c2bae8114,d208714749e2d8ddb7cc3f2657d2cba872beaaa9f1b99e6d2b92bb1c2bae8114,224,224,exact
claude-opus-4.7,repl-ethics-001,gpt-5.5,paraphrased_responses/kimi-k2.6/gpt-5.5__prompt-repl-ethics-001.json,kimi-k2.6,a0c70c07fbf1d7438146c06bb6e80b8b85d7e62e92e5aa99ad21bb7e1678750e,accf4f711fe08c2dc06b7ac2eed55485cc0d4b1d98807fb22f6e9083150ba649,266,272,mismatch
